|    0 |    1 |    2 |    3 |    4 |    5 |
|  320 |  134 |  321 |  130 |  318 |  132 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  322 |  135 |  323 |  131 |  320 |  133 |
|  322 |  135 |  322 |  131 |  319 |  132 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  324 |  136 |  324 |  131 |  321 |  132 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  327 |  137 |  327 |  132 |  323 |  133 |
|  328 |  136 |  327 |  132 |  324 |  134 |
|  325 |  136 |  325 |  132 |  322 |  134 |
|  321 |  135 |  321 |  130 |  317 |  132 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  324 |  136 |  324 |  132 |  320 |  133 |
|  324 |  136 |  324 |  131 |  320 |  133 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  322 |  135 |  317 |  131 |  319 |  133 |
|  329 |  138 |  329 |  133 |  324 |  134 |
|  331 |  138 |  330 |  134 |  327 |  135 |
|  328 |  137 |  328 |  133 |  325 |  135 |
|  328 |  138 |  329 |  134 |  326 |  135 |
|  330 |  138 |  329 |  133 |  325 |  135 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  327 |  137 |  327 |  133 |  323 |  134 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  326 |  137 |  325 |  132 |  322 |  134 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  322 |  135 |  321 |  131 |  317 |  132 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  322 |  135 |  322 |  131 |  318 |  132 |
|  323 |  136 |  323 |  131 |  318 |  132 |
|  322 |  135 |  323 |  131 |  319 |  133 |
|  323 |  136 |  324 |  132 |  320 |  133 |
|  323 |  136 |  323 |  131 |  319 |  133 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  325 |  137 |  325 |  133 |  322 |  134 |
|  324 |  136 |  323 |  132 |  320 |  133 |
|  325 |  136 |  325 |  132 |  322 |  133 |
|  326 |  136 |  326 |  132 |  322 |  133 |
|  322 |  135 |  323 |  131 |  317 |  132 |
|  323 |  136 |  323 |  131 |  320 |  133 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  326 |  137 |  327 |  133 |  328 |  134 |
|  328 |  137 |  326 |  133 |  323 |  134 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  331 |  138 |  327 |  133 |  326 |  135 |
|  336 |  140 |  335 |  136 |  332 |  137 |
|  337 |  141 |  336 |  137 |  332 |  137 |
|  335 |  139 |  333 |  136 |  327 |  136 |
|  331 |  138 |  331 |  134 |  327 |  135 |
|  327 |  137 |  327 |  133 |  323 |  135 |
|  324 |  136 |  325 |  132 |  322 |  134 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  323 |  136 |  324 |  132 |  321 |  133 |
|  325 |  136 |  325 |  132 |  321 |  134 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  321 |  135 |  322 |  131 |  319 |  133 |
|  322 |  135 |  323 |  131 |  320 |  133 |
|  330 |  138 |  330 |  134 |  326 |  135 |
|  332 |  138 |  331 |  134 |  327 |  135 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  328 |  137 |  327 |  133 |  325 |  135 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  329 |  138 |  328 |  133 |  325 |  135 |
|  331 |  138 |  329 |  134 |  326 |  135 |
|  331 |  139 |  332 |  135 |  329 |  137 |
|  329 |  138 |  329 |  134 |  326 |  135 |
|  330 |  138 |  329 |  134 |  326 |  135 |
|  333 |  139 |  331 |  134 |  328 |  136 |
|  333 |  139 |  332 |  135 |  329 |  136 |
|  332 |  138 |  332 |  134 |  326 |  135 |
